source_val,dist_type
BR,BURN
BRD,BURN
BRP,BURN
BRU,BURN
CA,PARTIAL_CUT
CAM,PARTIAL_CUT
CAS,PARTIAL_CUT
CB,CUT
CBA,CUT
CBT,CUT
CD,PARTIAL_CUT
CDL,PARTIAL_CUT
CDV,CUT
,PARTIAL_CUT
CEA,PARTIAL_CUT
CEF,CUT
CHP,WINDFALL
CHT,WINDFALL
CIF,CUT
CIP,PARTIAL_CUT
CIP_RL,PARTIAL_CUT
CJ,PARTIAL_CUT
CJB,PARTIAL_CUT
CJG,PARTIAL_CUT
CJP,PARTIAL_CUT
CJPG,PARTIAL_CUT
CJT,PARTIAL_CUT
CON,SILVICULTURE_TREATMENT
CP,PARTIAL_CUT
CPC,PARTIAL_CUT
CPE,PARTIAL_CUT
CPF,PARTIAL_CUT
CPH,CUT
CPHRS,CUT
CPI,PARTIAL_CUT
CPI_CP,PARTIAL_CUT
CPI_RL,PARTIAL_CUT
CPI_RL_F,CUT
CPI_TA,PARTIAL_CUT
CPM,PARTIAL_CUT
CPPTM_DIS,CUT
CPPTM_U,CUT
CPR,CUT
CPR_BA,PARTIAL_CUT
CPR_T,PARTIAL_CUT
CPR_U,PARTIAL_CUT
CPR_U-F,CUT
CPRS_BA,CUT
CPRS_DA,CUT
CPRS_PA,CUT
CPRS_T,CUT
CPRS_U,CUT
CPS,PARTIAL_CUT
CPT,CUT
CPX,PARTIAL_CUT
CRB,CUT
CRR,CUT
CRS,CUT
CS,CUT
CT,CUT
CTR,PARTIAL_CUT
CTSP_BA,CUT
CTSP_DA,CUT
CTSP_PA,CUT
CTSP_T,CUT
CTSP_U,CUT
CTX,CUT
DEG,SILVICULTURE_TREATMENT
DEP,PARTIAL_CUT
DLD,PARTIAL_CUT
DP,DEAD_UNKNOWN
DR,SILVICULTURE_TREATMENT
DRC,SILVICULTURE_TREATMENT
DRM,SILVICULTURE_TREATMENT
DT,DEAD_UNKNOWN
EC,PARTIAL_CUT
EC_SEL,PARTIAL_CUT
ECE,PARTIAL_CUT
ECL,PARTIAL_CUT
EJ,PARTIAL_CUT
EL,INSECT
ENM,SILVICULTURE_TREATMENT
ENP,SILVICULTURE_TREATMENT
ENR,SILVICULTURE_TREATMENT
ENS,SILVICULTURE_TREATMENT
EPC,PARTIAL_CUT
EPC_PUITS,PARTIAL_CUT
EPC_SYS,PARTIAL_CUT
EPR,PARTIAL_CUT
ES,INSECT
ESI,PARTIAL_CUT
ETR,SILVICULTURE_TREATMENT
FER,SILVICULTURE_TREATMENT
FR,OTHER
NET,SILVICULTURE_TREATMENT
P,SILVICULTURE_TREATMENT
p,SILVICULTURE_TREATMENT
PCP,PARTIAL_CUT
PL,SILVICULTURE_TREATMENT
PL_ENR,SILVICULTURE_TREATMENT
PL_REG,SILVICULTURE_TREATMENT
PLB,SILVICULTURE_TREATMENT
PLN,SILVICULTURE_TREATMENT
PLR,SILVICULTURE_TREATMENT
PRR,SILVICULTURE_TREATMENT
PSP,PARTIAL_CUT
PTA,PARTIAL_CUT
RBP,PARTIAL_CUT
RBV,PARTIAL_CUT
REA,SILVICULTURE_TREATMENT
RECUP_C-P,PARTIAL_CUT
RECUP_C-T,SILVICULTURE_TREATMENT
RECUP_F-P,PARTIAL_CUT
RECUP_F-T,SILVICULTURE_TREATMENT
RECUP_I-P,PARTIAL_CUT
RECUP_I-T,SILVICULTURE_TREATMENT
RECUP_M-P,PARTIAL_CUT
RECUP_M-T,PARTIAL_CUT
RIA,SILVICULTURE_TREATMENT
RPLB,PARTIAL_CUT
RPS,SILVICULTURE_TREATMENT
RR,SILVICULTURE_TREATMENT
RRB,SILVICULTURE_TREATMENT
RRG,SILVICULTURE_TREATMENT
RRN,SILVICULTURE_TREATMENT
RRP,SILVICULTURE_TREATMENT
RRR,SILVICULTURE_TREATMENT
VEP,WEATHER
VER,WEATHER
