source_val,wetland_type,wet_veg_cover,wet_landform_mod,wet_local_mod
FC10,S,T,N,N
FE60,S,T,N,N
FO18,S,T,N,N
MF18,S,T,N,N
MJ18,S,T,N,N
MJ28,S,T,N,N
MS18,S,T,N,N
MS18P,S,T,N,N
MS20P,S,T,N,N
MS28,S,T,N,N
MS68,S,T,N,N
RC38,S,T,N,N
RE20,S,T,N,N
RE37,S,T,N,N
RE38,F,T,N,N
RE39,B,T,N,N
RP10,S,T,N,N
RS18,S,T,N,N
RS18P,S,T,N,N
RS20,S,T,N,N
RS37,S,T,N,N
RS37P,S,T,N,N
RS38,F,T,N,N
RS38P,F,T,N,N
RS39,S,T,N,N
RS40,S,T,N,N
RS50,S,T,N,N
TO18,B,O,N,S
TOB9D,B,T,N,N
TOB9L,B,T,N,N
TOB9N,B,T,N,N
TOB9U,B,T,N,N
TOF8A,F,O,N,S
TOF8L,F,T,N,N
TOF8N,F,T,N,N
TOF8U,F,T,N,N
