rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({dist_type_1, dist_year_1, perturb, an_perturb}, TRUE)",'NA',Translate only rows where dist_type1 is not empty,'TRUE'
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, src_filename, ogc_fid, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_TYPE_1,text,"notEmpty({dist_type_1, dist_year_1, perturb, an_perturb},TRUE);minIndexNotNull({dist_year_1, an_perturb},{dist_type_1, perturb}, 'NULL'|UNKNOWN_VALUE)","minIndexLookupText({dist_year_1, an_perturb},{dist_type_1, perturb},'translation','qc_ipf05_dist_type','source_val','dist_type', 'NULL', 'NULL')",Maps source value to DIST_TYPE_1 using lists of values,TRUE
3,DIST_YEAR_1,integer,"notEmpty({dist_type_1, dist_year_1, perturb, an_perturb},TRUE);notEmpty({dist_year_1, an_perturb},TRUE|-8886)","minint({dist_year_1, an_perturb})",Maps year,TRUE
4,DIST_EXT_UPPER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
5,DIST_EXT_LOWER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,DIST_TYPE_2,text,"hasCountOfNotNull({dist_type_1, dist_year_1}, {perturb, an_perturb}, 2, 'TRUE'|NOT_APPLICABLE);notEmpty({dist_type_1, perturb},'FALSE'|UNKNOWN_VALUE)","maxIndexLookupText({dist_year_1, an_perturb},{dist_type_1, perturb},'translation','qc_ipf05_dist_type', 'source_val','dist_type', 'NULL', 'NULL')",Maps source value to DIST_TYPE_2 using lists of values,TRUE
7,DIST_YEAR_2,integer,"hasCountOfNotNull({dist_type_1, dist_year_1}, {perturb, an_perturb}, 2, 'TRUE'|-8887);notEmpty({dist_year_1, an_perturb},'FALSE'|-8886)","maxint({dist_year_1, an_perturb})",Maps year  ,TRUE
8,DIST_EXT_UPPER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur,TRUE
11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,true(),nothingInt(|-8886),Disturbance layer is unknown,TRUE
