source_val,num_of_species,species_1,species_per_1,species_2,species_per_2,species_3,species_per_3
BB,2,Betu papy,80,Hard unkn,20,,
BB1S,3,Betu papy,51,Abie pice,25,Hard unkn,24
BBBB,1,Betu papy,100,,,,
BBBBE,2,Betu papy,65,Pice spp.,35,,
BBBBPG,2,Betu papy,65,Pinu bank,35,,
BBBBR,2,Betu papy,65,Soft unkn,35,,
BBBBS,2,Betu papy,65,Abie pice,35,,
BBE,2,Betu papy,65,Pice spp.,35,,
BBPE,2,Betu papy,65,Popu spp.,35,,
BBPEE,3,Betu papy,51,Pice spp.,25,Popu spp.,24
BBPER,3,Betu papy,51,Soft unkn,25,Popu spp.,24
BBPES,3,Betu papy,51,Abie pice,25,Popu spp.,24
CE,2,Thuj occi,65,Pice spp.,35,,
EBB,2,Pice spp.,65,Betu papy,35,,
EE,1,Pice spp.,100,,,,
EFI,2,Pice spp.,65,Hard into,35,,
EME,2,Pice spp.,65,Lari lari,35,,
EPE,2,Pice spp.,65,Popu spp.,35,,
EPG,2,Pice spp.,65,Pinu bank,35,,
ES,2,Pice spp.,65,Abie pice,35,,
FI,1,Hard into,100,,,,
FIR,2,Hard into,65,Soft unkn,35,,
FNC,1,Hard nonc,100,,,,
FX,1,Hard unkn,100,,,,
MEE,2,Lari spp.,65,Pice spp.,35,,
MEME,1,Lari spp.,100,,,,
MES,2,Lari spp.,65,Abie pice,35,,
MF,2,Hard unkn,65,Soft unkn,35,,
MR,2,Soft unkn,65,Hard unkn,35,,
MX,2,Soft unkn,51,Hard unkn,49,,
PEBB,2,Popu spp.,65,Betu papy,35,,
PEBBE,3,Popu spp.,51,Betu papy,25,Pice spp.,24
PEBBR,3,Popu spp.,51,Betu papy,25,Soft unkn,24
PEBBS,3,Popu spp.,51,Betu papy,25,Abie pice,24
PEE,2,Popu spp.,65,Pice spp.,35,,
PEPE,1,Popu spp.,100,,,,
PEPEE,2,Popu spp.,65,Pice spp.,35,,
PEPEPG,2,Popu spp.,65,Pinu bank,35,,
PEPER,2,Popu spp.,65,Soft unkn,35,,
PEPES,2,Popu spp.,65,Abie pice,35,,
PGE,2,Pinu bank,65,Pice spp.,35,,
PGFI,2,Pinu bank,65,Hard into,35,,
PGPG,1,Pinu bank,100,,,,
RBB,2,Soft unkn,65,Betu papy,35,,
RE,2,Soft unkn,65,Pice spp.,35,,
RFI,2,Soft unkn,65,Hard into,35,,
RPE,2,Soft unkn,65,Popu spp.,35,,
RPG,2,Soft unkn,65,Pinu bank,35,,
RS,2,Soft unkn,65,Abie pice,35,,
RX,1,Soft unkn,100,,,,
SBB,2,Soft unkn,65,Betu papy,35,,
SC,2,Abie spp.,65,Thuj occi,35,,
SE,2,Abie spp.,65,Pice spp.,35,,
SFI,2,Abie Pice,65,Hard into,35,,
SME,2,Abie spp.,65,Lari lari,35,,
SPE,2,Abie pice,65,Popu spp.,35,,
SS,1,Abie spp.,100,,,,
