rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,notEmpty(dist_type_1),NA,Translate only rows where dist_type1 is not empty, TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, src_filename, ogc_fid, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_TYPE_1,text,"notNull(dist_type_1);notEmpty(dist_type_1);tt_minIndexNotNull({an_origine, an_perturb}, {origine, perturb}|UNKNOWN_VALUE)","tt_minIndexLookupText({an_origine, an_perturb}, {origine, perturb}, 'translation', 'qc_ipf05_dist_type',  {source_val}, {dist_type})",Maps source value to DIST_TYPE_1 using lists of values,TRUE
3,DIST_YEAR_1,integer,"tt_notEmpty({origine, an_origine, perturb, an_perturb}, any=TRUE), tt_notEmpty({an_origine, an_perturb}, any=TRUE|UNKNOWN_VALUE)","tt_min(an_origine, an_perturb) ",Maps year  ,TRUE
4,DIST_EXT_UPPER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
5,DIST_EXT_LOWER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,DIST_TYPE_2,text,"tt_hasCountOfNotNull({origine, an_origine}, {perturb, an_perturb}, 2|NOT_APPLICABLE), tt_notEmpty({origine, perturb}, any=FALSE|UNKNOWN_VALUE)","tt_maxIndexLookupText({an_origine, an_perturb}, {origine, perturb}, 'translation', 'qc_ipf05_dist_type',  {source_val}, {dist_type})",Maps source value to DIST_TYPE_2 using lists of values,TRUE
7,DIST_YEAR_2,integer,"tt_hasCountOfNotNull({origine, an_origine}, {perturb, an_perturb}, 2|NOT_APPLICABLE), tt_notEmpty({an_origine, an_perturb}, any=FALSE|UNKNOWN_VALUE)","tt_max(an_origine, an_perturb) ",Maps year  ,TRUE
8,DIST_EXT_UPPER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur,TRUE
11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,true(),nothingInt(|-8886),Disturbance layer is unknown,TRUE
