source_val,specie
BG,Betu popu
BJ,Betu alle
BP,Betu papy
CB,Quer alba
CC,Cary cord
CF,Cary orav
CG,Quer macr
CH,Quer spp.
CI,Quer bico
CR,Quer rubr
CT,Prun sero
EA,Acer sach
EB,Pice glau
EI,Acer nigr
EN,Pice mari
EO,Acer rubr
EP,Pice spp.
ER,Acer spp.
ES,Acer sacc
EU,Pice rube
EV,Pice abie
FA,Frax amer
FH,Hard mois
FI,Hard into
FN,Hard nonc
FO,Frax nigr
FP,Frax penn
FR,Frax spp.
FT,Hard tole
FX,Hard unkn
FZ,Hard unkn
HG,Fagu gran
ME,Lari deci
MH,Lari hybr
MJ,Lari kaem
ML,Lari lari
NC,Jugl cine
NN,Jugl nigr
OA,Ulmu amer
OO,Ulmu rubr
OR,Ulmu spp.
OT,Ulmu thom
OV,Ostr virg
PA,Popu balb
PB,Pinu stro
PC,Pinu rigi
PD,Popu gran
PE,Popu spp.
PG,Pinu bank
PH,Popu hybr
PI,Pinu spp.
PL,Popu delt
PO,Popu nigr
PR,Pinu resi
PS,Pinu sylv
PT,Popu trem
PU,Tsug cana
RX,Soft unkn
RZ,Soft unkn
SB,Abie bals
SE,Abie pice
TA,Tili amer
TO,Thuj occi
