rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({dist_type_1, dist_type_2, dist_type_3}, TRUE)",NA,"Translate only rows where dist_type_1, dist_type_2 OR dist_type_3 is not empty", TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(orig_stand_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_TYPE_1,text,"notNull(dist_type_1);notEmpty(dist_type_1);matchList(dist_type_1,{'CO','BO','WI','HA','IN','DI','AK', 'SL', 'SI'})","mapText(dist_type_1, {'CO','BO','WI','HA','IN','DI','AK', 'SL', 'SI'}, {'CUT','BURN','WINDFALL','WEATHER','INSECT','DISEASE','OTHER','SLIDE','SILVICULTURE_TREATMENT'})","Maps source value to DIST_TYPE_1 using lists of values. Note that source values SN, S, W, C, and B appear in SK02 but are not in sfvi specs. These will return NOT_IN_SET.",TRUE
3,DIST_YEAR_1,integer,"notNull(dist_year_1);isInt(dist_year_1);isBetween(dist_year_1, 1, 2020)",copyInt(dist_year_1),Copies source attribute to DIST_YEAR_1,TRUE
4,DIST_EXT_UPPER_1,integer,"notNull(dist_ext_upper_1);isInt(dist_ext_upper_1);isGreaterThan(dist_ext_upper_1,0,'FALSE');matchList(dist_ext_upper_1,{1,2,3,4,5})","mapInt(dist_ext_upper_1, {1,2,3,4,5}, {25,50,75,95,100})",Maps extent range to upper,TRUE
5,DIST_EXT_LOWER_1,integer,"notNull(dist_ext_lower_1);isInt(dist_ext_lower_1);isGreaterThan(dist_ext_lower_1,0,'FALSE');matchList(dist_ext_lower_1,{1,2,3,4,5})","mapInt(dist_ext_lower_1, {1,2,3,4,5}, {1,26,51,76,96})",Maps extent range to lower,TRUE
6,DIST_TYPE_2,text,"notNull(dist_type_2);notEmpty(dist_type_2);matchList(dist_type_2,{'CO','BO','WI','HA','IN','DI','AK', 'SL', 'SI'})","mapText(dist_type_2, {'CO','BO','WI','HA','IN','DI','AK', 'SL', 'SI'}, {'CUT','BURN','WINDFALL','WEATHER','INSECT','DISEASE','OTHER','SLIDE','SILVICULTURE_TREATMENT'})",Maps source value to DIST_TYPE_1 using lists of values,TRUE
7,DIST_YEAR_2,integer,"notNull(dist_year_2);isInt(dist_year_2);isBetween(dist_year_2, 1, 2020)",copyInt(dist_year_2),Copies source attribute to DIST_YEAR_1,TRUE
8,DIST_EXT_UPPER_2,integer,"notNull(dist_ext_upper_2);isInt(dist_ext_upper_2);isGreaterThan(dist_ext_upper_2,0,'FALSE');matchList(dist_ext_upper_2,{1,2,3,4,5})","mapInt(dist_ext_upper_2, {1,2,3,4,5}, {25,50,75,95,100})",Maps extent range to upper,TRUE
9,DIST_EXT_LOWER_2,integer,"notNull(dist_ext_lower_2);isInt(dist_ext_lower_2);isGreaterThan(dist_ext_lower_2,0,'FALSE');matchList(dist_ext_lower_2,{1,2,3,4,5})","mapInt(dist_ext_lower_2, {1,2,3,4,5}, {1,26,51,76,96})",Maps extent range to lower,TRUE
10,DIST_TYPE_3,text,"notNull(dist_type_3);notEmpty(dist_type_3);matchList(dist_type_3,{'CO','BO','WI','HA','IN','DI','AK', 'SL', 'SI'})","mapText(dist_type_3, {'CO','BO','WI','HA','IN','DI','AK', 'SL', 'SI'}, {'CUT','BURN','WINDFALL','WEATHER','INSECT','DISEASE','OTHER','SLIDE','SILVICULTURE_TREATMENT'})",Maps source value to DIST_TYPE_1 using lists of values,TRUE
11,DIST_YEAR_3,integer,"notNull(dist_year_3);isInt(dist_year_3);isBetween(dist_year_3, 1, 2020)",copyInt(dist_year_3),Copies source attribute to DIST_YEAR_1,TRUE
12,DIST_EXT_UPPER_3,integer,"notNull(dist_ext_upper_3);isInt(dist_ext_upper_3);isGreaterThan(dist_ext_upper_3,0,'FALSE');matchList(dist_ext_upper_3,{1,2,3,4,5})","mapInt(dist_ext_upper_3, {1,2,3,4,5}, {25,50,75,95,100})",Maps extent range to upper,TRUE
13,DIST_EXT_LOWER_3,integer,"notNull(dist_ext_lower_3);isInt(dist_ext_lower_3);isGreaterThan(dist_ext_lower_3,0,'FALSE');matchList(dist_ext_lower_3,{1,2,3,4,5})","mapInt(dist_ext_lower_3, {1,2,3,4,5}, {1,26,51,76,96})",Maps extent range to lower,TRUE
14,LAYER,integer,true(),nothingInt(|-8886),Disturbance layer is unknown,TRUE
