rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({l1_sp1, l1_sp2, l1_sp3, l1_sp4, l1_sp5, l1_sp6}, TRUE)",NA,"Translate only rows where l1_sp1, l1_sp2, l1_sp3, l1_sp4, l1_sp5 or l1_sp6 is not empty", TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(poly_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', poly_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"notNull(smr);notEmpty(smr);matchList(smr,{'D','F','M','MF','MM','MW','VD','VF','VM','VW','W'})","mapText(smr, {'D','F','M','MF','MM','MW','VD','VF','VM','VW','W'}, {'D','F','M','F','M','W','D','F','M','W','W'})",Maps soure value to SOIL_MOIST_REG,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,LAYER,integer,true(),"sfv01_countOfNotNull({dummy_l1_sp1}, {dummy_l2_sp1}, {dummy_l3_sp1}, {dummy_shrub1}, {dummy_herb1}, dummy_nvsl, dummy_aquatic_class, dummy_luc, dummy_transp_class, max_layer_number, 'FALSE')","Count layers up to max of 6. Layers are the forest species for layers 1, 2 and 3, the shrub layer, the herb layer, and a stand-level nfl layer that can be one of nvsl, aquatic_class, luc or transp_class. Custom function checks if nfl row is present then runs countOfNotNull. Only the first species is included for each forest layer as there are no cases where species 2, 3, 4, 5, or 6 are included without species 1. nvsl is the predominant non-veg cover type and can occur when there is forest info. 6 layers is therefore possible.",TRUE
5,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(l1_crown_closure);isInt(l1_crown_closure);isBetween(l1_crown_closure,0,100)",copyInt(l1_crown_closure),Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(l1_crown_closure);isInt(l1_crown_closure);isBetween(l1_crown_closure,0,100)",copyInt(l1_crown_closure),Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,"notNull(l1_height);isInt(l1_height);isBetween(l1_height,0,100)",copyDouble(l1_height),Maps source value to HEIGHT_UPPER,TRUE
9,HEIGHT_LOWER,double precision,"notNull(l1_height);isInt(l1_height);isBetween(l1_height,0,100)",copyDouble(l1_height),Maps source value to HEIGHT_LOWER,TRUE
10,PRODUCTIVE_FOR,text,false(),nothingText(),Correct translation has not been determined.,TRUE
11,SPECIES_1,text,"notNull(l1_sp1);notEmpty(l1_sp1);matchTable(l1_sp1,'translation', 'sk_sfv01_species', 'TRUE')","lookupText(l1_sp1, 'translation', 'sk_sfv01_species', 'spec1', 'TRUE')",Maps source value to SPECIES_1 using lookup table,TRUE
12,SPECIES_PER_1,integer,"notNull(l1_sp1_cover);isNumeric(l1_sp1_cover);isBetween(l1_sp1_cover,0,100)",copyInt(l1_sp1_cover),"Assigns percent based on many logical tests using the sa, sp10, sp11, sp12, sp20 and sp21 columns",TRUE
13,SPECIES_2,text,"notNull(l1_sp2);notEmpty(l1_sp2);matchTable(l1_sp2,'translation', 'sk_sfv01_species', 'TRUE')","lookupText(l1_sp2, 'translation', 'sk_sfv01_species', 'spec1', 'TRUE')",Maps source value to SPECIES_2 if available using lookup table,TRUE
14,SPECIES_PER_2,integer,"notNull(l1_sp2_cover);isNumeric(l1_sp2_cover);isBetween(l1_sp2_cover,0,100)",copyInt(l1_sp2_cover),"Assigns percent based on many logical tests using the sa, sp10, sp11, sp12, sp20 and sp21 columns",TRUE
15,SPECIES_3,text,"notNull(l1_sp3);notEmpty(l1_sp3);matchTable(l1_sp3,'translation', 'sk_sfv01_species', 'TRUE')","lookupText(l1_sp3, 'translation', 'sk_sfv01_species', 'spec1', 'TRUE')",Maps source value to SPECIES_3 if available using lookup table,TRUE
16,SPECIES_PER_3,integer,"notNull(l1_sp3_cover);isNumeric(l1_sp3_cover);isBetween(l1_sp3_cover,0,100)",copyInt(l1_sp3_cover),"Assigns percent based on many logical tests using the sa, sp10, sp11, sp12, sp20 and sp21 columns",TRUE
17,SPECIES_4,text,"notNull(l1_sp4);notEmpty(l1_sp4);matchTable(l1_sp4,'translation', 'sk_sfv01_species', 'TRUE')","lookupText(l1_sp4, 'translation', 'sk_sfv01_species', 'spec1', 'TRUE')",Maps source value to SPECIES_4 if available using lookup table,TRUE
18,SPECIES_PER_4,integer,"notNull(l1_sp4_cover);isNumeric(l1_sp4_cover);isBetween(l1_sp4_cover,0,100)",copyInt(l1_sp4_cover),"Assigns percent based on many logical tests using the sa, sp10, sp11, sp12, sp20 and sp21 columns",TRUE
19,SPECIES_5,text,"notNull(l1_sp5);notEmpty(l1_sp5);matchTable(l1_sp5,'translation', 'sk_sfv01_species', 'TRUE')","lookupText(l1_sp5, 'translation', 'sk_sfv01_species', 'spec1', 'TRUE')",Maps source value to SPECIES_5 if available using lookup table,TRUE
20,SPECIES_PER_5,integer,"notNull(l1_sp5_cover);isNumeric(l1_sp5_cover);isBetween(l1_sp5_cover,0,100)",copyInt(l1_sp5_cover),"Assigns percent based on many logical tests using the sa, sp10, sp11, sp12, sp20 and sp21 columns",TRUE
21,SPECIES_6,text,"notNull(l1_sp6);notEmpty(l1_sp6);matchTable(l1_sp6,'translation', 'sk_sfv01_species', 'TRUE')","lookupText(l1_sp6, 'translation', 'sk_sfv01_species', 'spec1', 'TRUE')",Attribute does not occur,TRUE
