casfri_species_codes,nfi_species_code,scientific_name,ab_species_codes,bc_species_codes,nb_species_codes,nt_species_codes,on_species_codes,ns_species_codes,sk_species_codes,yt_species_codes,pe_species_codes,qc_species_codes,mb_species_codes,nl_species_codes,pc02_species_codes,pc01_species_codes,Comment
ABIE_AMAB,ABIE_AMA_###,Abies amabilis ,,BA,,,,,,,,,,,,,
ABIE_BALS,ABIE_BAL_###,Abies balsamea ,FB,BB,BF,,BF,BF,BF,,BF,SB,BF,BF,,AB,
ABIE_FIRM,ABIE_FIR_###,Abies firma,,,JF,,,,,,,,,,,,
ABIE_GRAN,ABIE_GRA_###,Abies grandis ,,BG,,,,,,,,,,,,,
ABIE_LASI,ABIE_LAS_###,Abies lasiocarpa ,FA,BL,,F,,,,F,,,,,,,
ABIE_MAGN,ABIE_MAG_SHA,Abies magnifica var. shastensis ,,BM,,,,,,,,,,,,,
ABIE_PICE,ABIE_PIC_###,,,,FS,,,,,,,SE,,,,,"Mix spruce, balsam fir. "
ABIE_PICE,ABIE_PIC_###,,,,SF,,,,,,,,,,,,"Mix spruce, balsam fir"
ABIE_PROC,ABIE_PRO_###,Abies procera ,,BP,,,,,,,,,,,,,
ABIE_SUBS,ABIE_SPP_###,Abies spp. ,,B,,,,,,,,,,,,,
ACER_CIRC,ACER_CIR_###,Acer circinatum ,,MV,,,,,,,,,,,,,
ACER_FREE,ACER_FRE_###,Acer x freemanii (Acer rubrum ? Acer saccharinum) ,,,,,MF,,,,,,,,,,
ACER_MACR,ACER_MAC_###,Acer macrophyllum ,,MB,,,,,,,,,,,,,
ACER_NEGU,ACER_NEG_###,Acer negundo ,,ME,,,MM,,MM,,,,MM,,,,
ACER_NIGR,ACER_NIG_###,Acer nigrum ,,,,,MB,,,,,EI,,,,,
ACER_PENS,ACER_PEN_###,Acer pensylvanicum ,,,,,MP,,,,,,,,,,
ACER_PLAT,ACER_PLA_###,Acer platanoides ,,MN,,,MN,,,,,,,,,,
ACER_RUBR,ACER_RUB_###,Acer rubrum ,,,RM,,MR,RM,,,RM,EO,,RM,,,
ACER_SACC,ACER_SAH_###,Acer saccharum ,,,SM,,MH,SM,,,SM,ES,,,,,
ACER_SACH,ACER_SAC_###,Acer saccharinum ,,,,,MS,,,,,EA,,,,,
ACER_SPIC,ACER_SPI_###,Acer spicatum ,,,,,MT,,,,,,,,,,
ACER_SUBS,ACER_SPP_###,Acer spp. ,,M,MA,,MX,,,,,ER,,,,,
AESC_HIPP,AESC_HIP_###,Aesculus hippocastanum ,,,,,HC,,,,,,,,,,
ALNU_INCA,ALNU_INC_TEN,Alnus incana ssp. tenuifolia ,,,,,,,,,,,,,,,
ALNU_RUBR,ALNU_RUB_###,Alnus rubra ,,DR,,,,,,,,,,,,,
ALNU_SUBS,ALNU_SPP_###,Alnus spp. ,,D,,AL,AL,,,,AL,,,,AL,,
ARBU_MENZ,ARBU_MEN_###,Arbutus menziesii ,,RA,,,,,,,,,,,,,
ASIM_TRIL,ASIM_TRI_###,Asimina triloba ,,,,,PA,,,,,,,,,,
BETU_ALLE,BETU_ALL_###,Betula alleghaniensis ,,EY,YB,,BY,YB,,,YB,BJ,,YB,,,
BETU_LENT,BETU_LEN_###,Betula lenta ,,,,,BC,,,,,,,,,,
BETU_MAND,BETU_MAN_###,Betula mandschurica var japonica,,,,,,,,,,,,JB,,,
BETU_NEOA,BETU_NEO_###,Betula neoalaskana ,,EA,,,,,,,,,,,,,
BETU_OCCI,BETU_OCC_###,Betula occidentalis ,,EW,,,,,,,,,,,,,
BETU_PAPY,BETU_PAP_###,Betula papyrifera ,BW,EP,WB,BW,BW,WB,WB,W,WB,BP,WB,WB,,BP,
BETU_PEND,BETU_PEN_###,Betula pendula ,,EE,EB,,BP,,,,,,,,,,
BETU_POPU,BETU_POP_###,Betula populifolia ,,,GB,,BG,GB,,,GB,BG,,,,,
BETU_PUBE,BETU_PUB_###,Betula pubescens ,,ES,,,,,,,,,,,,,
BETU_SUBS,BETU_SPP_###,Betula spp. ,,E,BI,,,,,,,,,,,,
CALC_DECU,CALO_DEC_###,Calocedrus decurrens ,,OA,,,,,,,,,,,,,
CARP_CARO,CARP_CAR_###,Carpinus caroliniana ,,,,,BB,,,,,,,,,,
CARY_CORD,CARY_COR_###,Carya cordiformis ,,,,,HB,,,,,CC,,,,,
CARY_GLAB,CARY_GLA_ODO,Carya glabra var. odorata ,,,,,HP,,,,,,,,,,
CARY_LACI,CARY_LAC_###,Carya laciniosa ,,,,,HL,,,,,,,,,,
CARY_ORAV,CARY_OVA_###,Carya ovata ,,OI,,,HS,,,,,CF,,,,,
CARY_SUBS,CARY_SPP_###,Carya spp. ,,,,,HI,,,,,,,,,,
CARY_TOME,CARY_TOM_###,Carya tomentosa ,,,,,HM,,,,,,,,,,
CAST_DENT,CAST_DEN_###,Castanea dentata ,,,,,CD,,,,,,,,,,
CATA_SPEC,CATA_SPE_###,Catalpa speciosa  ,,,,,CAT,,,,,,,,,,
CELT_OCCI,CELT_OCC_###,Celtis occidentalis ,,,,,HK,,,,,,HB,,,,
CERC_CANA,CERC_CAN_###,Cercis canadensis ,,,,,RED,,,,,,,,,,
CRAT_SUBS,CRAT_SPP_###,Crataegus spp. ,,,,,HT,,,,,,,,,,
CHAM_NOOT,CHAM_NOO_###,Chamaecyparis nootkatensis ,,YC,,,,,,,,,,,,,
CORN_NUTT,CORN_NUT_###,Cornus nuttallii ,,GP,,,,,,,,,,,,,
FAGU_GRAN,FAGU_GRA_###,Fagus grandifolia ,,,BE,,BE,BE,,,BE,HG,,,,,
FRAX_AMER,FRAX_AME_###,Fraxinus americana ,,OH,WA,,AW,,,,WA,FA,,,,,
FRAX_NIGR,FRAX_NIG_###,Fraxinus nigra  ,,,BA,,AB,,,,,FO,,,,,
FRAX_PENN,FRAX_PEN_###,Fraxinus pennsylvanica ,,,,,AG,,GA,,,FP,,,,,
FRAX_PROF,FRAX_PRO_###,Fraxinus profunda,,,,,AP,,,,,,,,,,
FRAX_QUAD,FRAX_QUA_###,Fraxinus quadrangulata ,,,,,AQ,,,,,,,,,,
FRAX_SUBS,FRAX_SPP_###,Fraxinus spp. ,,,AS,,AX,AS,,,,FR,AS,,,,
GLED_TRIA,GLED_TRI_###,Gleditsia triacanthos ,,,HL,,GT,,,,,,,,,,
GYMN_DIOI,GYMN_DIO_###,Gymnocladus dioicus ,,,,,KK,,,,,,,,,,
HAMA_VIRG,HAMA_VIR_###,Hamamelis virginiana ,,,,,HAZ,,,,,,,,,,
HARD_INTO,HARD_INT_###,,,,IH,,,IH,,,,FI,,,,,Intolerant Hardwood
HARD_MOIS,HARD_MOI_###,,,,,,,,,,,FH,,,,,Moist hardwoods
HARD_NONC,HARD_NON_###,,,,NC,,,,,,,FN,,,,,Non commercial hardwoods
HARD_TOLE,HARD_TOL_###,,,,TH,,,TH,,,,FT,,,,,Tolerant hardwood
HARD_UNKN,GENH_SPP_###, ,,XH,HW,,OH,OH,,,,FX,,,,,Hardwood unknown
HARD_UNKN,GENH_SPP_###, ,,ZH,OH,,,UH,,,,FZ,,,,,Hardwood unknown (planted)
HARD_UNKN,GENH_SPP_###, ,,,,,,H,,,,,,,,,Hardwood unknown
HARD_UNKN,GENH_SPP_###, ,,,,,,HS,,,,,,,,,Hardwood unknown
JUGL_CINE,JUGL_CIN_###,Juglans cinerea ,,,,,BN,,,,BN,NC,,,,,
JUGL_NIGR,JUGL_NIG_###,Juglans nigra ,,,,,WB,,,,,NN,,,,,
JUNI_SCOP,JUNI_SCO_###,Juniperus scopulorum ,,JR,,,,,,,,,,,,,
LARI_DECI,LARI_DEC_###,Larix decidua ,,,EL,,LE,EL,,,EL,ME,,EL,,,
LARI_HYBR,LARI_MAR_###,Larix x marschlinsii,,,,,,XL,,,,MH,,,,,
LARI_KAEM,LARI_KAE_###,Larix kaempferi ,,,JL,,LJ,JL,,,,MJ,,JL,,,
LARI_LARI,LARI_LAR_###,Larix laricina ,LT,LT,TL,L,LA,TL,TL,L,LA,ML,TL,TL,,LL,
LARI_LYAL,LARI_LYA_###,Larix lyallii ,LA,LA,,,,,,,,,,,,,
LARI_OCCI,LARI_OCC_###,Larix occidentalis ,LW,LW,,,,WL,,,,,,,,,
LARI_SIBI,LARI_SIB_###,Larix sibirica ,,LS,,,,,SL,,,,,,,,
LARI_SUBS,LARI_SPP_###,Larix spp. ,,L,,,,,,,,,,,,,
LIRI_TULI,LIRI_TUL_###,Liriodendron tulipifera ,,,,,TP,,,,,,,,,,
MAGN_ACUM,MAGN_ACU_###,Magnolia acuminata ,,,,,CT,,,,,,,,,,
,MALU_FUS_###,Malus fusca ,,UP,,,,,,,,,,,,,
MALU_PUMI,MALU_PUM_###,Malus pumila,,UA,,,,,,,MA,,,,,,PE found in Rare Plant Survey Report
MALU_SUBS,MALU_SPP_###,Malus spp. ,,U,,,,,,,,,,,,,
MORU_RUBR,MORU_RUB_###,Morus rubra ,,,,,MO,,,,,,,,,,
NYSS_SYLV,NYSS_SYL_###,Nyssa sylvatica ,,,,,GB,,,,,,,,,,
OSTR_VIRG,OSTR_VIR_###,Ostrya virginiana ,,,I,,IW,IW,,,,OV,HH,,,,
PICE_ABIE,PICE_ABI_###,Picea abies ,,SN,NS,,SN,NS,,,NS,EV,,,,,
PICE_ABIE,PICE_ABI_###,Picea abies ,,SA,,,,,,,,,,,,,
PICE_ENGE,PICE_ENG_###,Picea engelmannii ,SE,SE,,,,,,,,,,ES,,,
PICE_ENGE,PICE_ENG_GLA,Picea engelmannii xglauca,,SXW,,,,,,,,,,,,,
PICE_GLAU,PICE_GLA_###,Picea glauca ,SW,SW,WS,SW,SW,WS,WS,SW,WS,EB,WS,WS,WS,PG,
PICE_KOYA,PICE_KOY_###,Picea koyamai,,,,,SK,,,,,,,,,,
PICE_MARI,PICE_MAR_###,Picea mariana ,SB,SB,BS,SB,SB,BS,BS,SB,BS,EN,BS,BS,BS,PM,
PICE_PUNG,PICE_PUN_###,Picea pungens ,,,,,SC,,,,,,,,,,
PICE_RUBE,PICE_RUB_###,Picea rubens ,,,RS,,SR,RS,,,RS,EU,,,,,
PICE_SITC,PICE_SIT_###,Picea sitchensis ,,SS,,,,SS,,,,,,SS,,,
PICE_SITX,PICE_SIT_X##,Picea sitchensis xunknown ,,SXS,,,,,,,,,,,,,
